Group,TW VS,TW SI1,TW SI2,TW SI3,TW I1,WH SI,OW I1,LGD
R00,610,560,520,485,445,445,405,300
R01,565,525,485,450,420,420,380,250
R02,500,460,425,390,360,365,325,200
R05,445,405,370,330,295,310,270,200
R06,500,460,425,390,340,365,305,200
R09,640,600,555,505,460,475,410,200
R11,650,610,565,525,465,485,420,200
R12,755,715,660,620,555,575,500,200
R14,785,730,675,635,535,565,480,200
R18,780,730,675,635,535,565,480,200
R20,805,755,700,665,535,580,480,200
R23,830,780,730,690,555,605,500,200
R25,860,805,755,715,625,655,560,200
R30,860,805,755,715,625,655,560,200
R38,910,860,805,765,670,700,620,200
R40,975,925,865,820,715,755,685,200
R46,1040,990,925,880,765,805,755,200
R50,1140,1075,990,935,820,865,805,200
R60,1235,1165,1075,1015,890,935,870,200
R70,1625,1430,1300,1170,1040,1040,935,200
R75,1950,1690,1560,1430,1300,1300,1040,200
R80,2015,1755,1625,1495,1365,1365,1105,200
